0,208500
1,181500
2,223500
3,140000
4,250000
5,143000
6,307000
7,200000
8,129900
9,118000
10,129500
11,345000
12,144000
13,279500
14,157000
15,132000
16,149000
17,90000
18,159000
19,139000
20,325300
21,139400
22,230000
23,129900
24,154000
25,256300
26,134800
27,306000
28,207500
29,68500
30,40000
31,149350
32,179900
33,165500
34,277500
35,309000
36,145000
37,153000
38,109000
39,82000
40,160000
41,170000
42,144000
43,130250
44,141000
45,319900
46,239686
47,249700
48,113000
49,127000
50,177000
51,114500
52,110000
53,385000
54,130000
55,180500
56,172500
57,196500
58,438780
59,124900
60,158000
61,101000
62,202500
63,140000
64,219500
65,317000
66,180000
67,226000
68,80000
69,225000
70,244000
71,129500
72,185000
73,144900
74,107400
75,91000
76,135750
77,127000
78,136500
79,110000
80,193500
81,153500
82,245000
83,126500
84,168500
85,260000
86,174000
87,164500
88,85000
89,123600
90,109900
91,98600
92,163500
93,133900
94,204750
95,185000
96,214000
97,94750
98,83000
99,128950
100,106250
101,205000
102,178000
103,118964
104,198900
105,169500
106,250000
107,100000
108,115000
109,115000
110,190000
111,136900
112,180000
113,383970
114,217000
115,259500
116,176000
117,139000
118,155000
119,320000
120,163990
121,180000
122,100000
123,136000
124,153900
125,181000
126,84500
127,128000
128,87000
129,155000
130,150000
131,226000
132,244000
133,150750
134,220000
135,180000
136,174000
137,143000
138,171000
139,230000
140,231500
141,115000
142,260000
143,166000
144,204000
145,125000
146,130000
147,105000
148,222500
149,141000
150,115000
151,122000
152,372402
153,190000
154,235000
155,125000
156,79000
157,109500
158,269500
159,254900
160,320000
161,162500
162,412500
163,220000
164,103200
165,152000
166,127500
167,190000
168,325624
169,183500
170,228000
171,128500
172,215000
173,239000
174,163000
175,184000
176,243000
177,211000
178,172500
179,501837
180,100000
181,177000
182,200100
183,120000
184,200000
185,127000
186,475000
187,173000
188,135000
189,153337
190,286000
191,315000
192,184000
193,192000
194,130000
195,127000
196,148500
197,311872
198,235000
199,104000
200,274900
201,140000
202,171500
203,112000
204,149000
205,110000
206,180500
207,143900
